rating	text
3	soft, cigar cassis fruit - sweet finish. pleasant. nice condition. 
2	soft blackcurrant fruit - with tannic background that starts to show in the midpalate. odd balance. 
3	a bit stinky at first - resolves - tar roses but the common old barolo oxidativeness.  tarry - quite hard work. actually probably good. top 
4	rich again - gamy animal dry - could do with long decanting.  bare 
3	dark orange. very barley-sugar - nice balance - appetizing finish. 
3	slightly lighter, fruitier.  slightly oily textured. bare 
3	a bit faded, pleasant, lightweight. bare 
3	charming tempranillo sweet strawberry nose. good balance and elegant. a good 
2	modern stuff, rather lacking depth and complexity. 
3	at peak or just over. rather like a decent cotes-du-rhone, with a rustic edge. 
1	pretty awful - very soft and commercial. confected. 
0	clean, pretty dry, but low on real concentration. a respectable  
0	clean again, clearly rather dilute, quite leafy and a touch of (not necessarily bad) green-ness. again a respectable 
4	a slightly embarrassing start to the evening with people thinking this was vintage (1990 or 1996), possibly krug, possibly billecart. lovely wine whatever. a touch of pink on the colour - a blush to cover our blushes. elegant, good length and fine balanced acidity. a really good, cheap (under 15) fizz. 
3	mature with grenache cherry showing through. charming nose. slightly simple on the palate. a good 
3	slightly flat liquorice nose. more depth than the 98. closed up and allowing the alcohol to  show through, but i think this will come together well. ()
4	a touch gummy and with a hint of leather. drier than many. robust. 
2	youthful (obviously the youngest wine of this flight). powerful wine with lovely softy tannins at the end. ()
2	past its peak, although still very drinkable. fruit is starting to dry out and a touch of volatility is appearing. 
3	this vintage had a juiciness about the fruit that was lacking in the other wines, but was also maturing well - at an in-between phase i guess. 
3	green tannins, dry at the end, a long, soft, not that pleasant leathery length. 
2	vegetal blackcurrant. soft and not together. 
3	very young and closed. minty. but does it have the structure? 
3	a stinky nose to start with. leather, and just beginning to dry out. 
3	a touch vegetal, and some volatility. just 
3	a bit of blackcurrant, clean and nicely together. a top 
4	some thought this stunk rather. i thought it the finest wine of this flight. lovely fragrant mature shiraz nose. at peak. good. 
0	toffeed, bit dry, volatile. 
3	cream crackers on the nose (no that's not rhyming slang). vanilla. simple. 
3	quite acidic, some fruit. a solid 
3	simple cherry fruit and acidity. rustic at the end. 
3	sweet maturity. at peak. a top 
3	very slight almost unnoticeable spritz, but otherwise mature and together and pleasant drinking. a top 
2	young and closed, but seemed a bit simple. ()
2	on the whole, well made stuff, but there does seem to be an odd dull metallic note to the wine. otherwise there is soft, well-balanced fruit. 
3	a good, fruity, balanced drink. pleasant food or quaffing wine.
3	the usual penfold's style - well made, and with a touch of volatility helping with the balance. 
2	dry, clean, nice piney (is that allowed?)  spicy perhaps is better. reasonable complexity once it has warmed up above the icy temperature at which it was served. decent length. top 
2	nice white-pepper spicyness - balanced and long - the extreme nature of the vintage less apparent than i feared.  ()
3	honied - interesting green-tinged high-toned fruit.  bone-dry and rather nice.  time to drink though. bare 
1	fresh, grassy, a bit vegetal.  fruity and a touch sweet.  top 
2	drier, quite intense.  hints at almonds and lime. 
2	a touch reductive/sulphury.  forward fruit - pleasantly dry.  top 
3	nice intensity. aniseed. fades a touch.   good value. 
3	a touch of ginger.  rounded fruit like a top-class macon.  nice intensity and clean, pretty dry palate.  very good.   ()
2	intense pure cassis, ripe with some quite dry succulent tannins.  fairly sweet impression on the palate. 
1	sickly toffee-fudge nose. sweet fruit.  i don't like this. 
3	sweet soft-drink fruit.  it expands a bit but i still find it too soft.  for somebody who likes the style: 
0	"very sweet, some mushroomyness but so sickly - might almost be a desert wine.  i really don't want to drink this. i can't even bring myself to give it stars on an ""if you like this sort of thing"" basis. "
1	quite sweet - very soft fruit. herby and lifted. decent 
3	still a bit soft for my palate - has mt e always been this easy?  certainly the best of the three. bare 
2	almost madeira-like.   it suffered a bit on serving - it was rather sedimenty. pleasant but fading a bit. 
3	almost dry - nice, but no better than  it should be given the reputation of the vintage.  
3	very classic cedary, mature claret nose.  classic on the palate too, but there is an air of living dangerously, of corruption, and a general hint that the wine will crack up.  really needs food now and probably should be drunk in the next year or two.  
4	classic again on the nose, but a rather fresher, more stable palate with complex multi-faceted fruit.   once open for an hour or so it becomes fragrant and high-toned.  drinking well and no hurry to consume.  
1	i don't get to try an awful lot of bacchus nowadays, although way back i used to attend the english wine fair and try samples there. i can't say i miss it much. this wine is floral, grapefruity and with hints of sauvignon-like flavours. strangely for a cleanly made 11% white wine, it isn't the sort of stuff you want to drink a whole bottle of - it's not unpleasant, just that the acidity and fruit somehow manage to dull the tastebuds. hopefully the champagne style pinot that was also sent will be more interesting. 
4	lovely fizz, with good nutty steely age on the palate. fine depth of flavour, although the palate does tire very slightly at the end. really on very good form. 
3	good fruit and depth of colour. very obvious new oak on the palate. good drinkable modern wine. 
3	fragrant, dry palate, quite meaty and serious.  time to drink i guess - it will never be soft and the fruit is fully mature.  rather enjoyable. 
2	i don't often drink village chablis. this is a good example of what you get from a good one: all the stony minerality and dryness of a premier cru but just a bit less intense and refined.   best with food. 
3	seems a bit thin and mean straight from cellar, but when it warms up its fantastic: dry and succulent but with intense strawberry fruit and a bit of beetroot in the mouth.   quite structured - it will probably improve a bit yet. am i being overgenerous with ()
3	quite tight and lean,   i wondered a bit whether it wasn't a little thin when judged by the highest standards, but while not an absolute star, more and more emerged with some breathing.   very well-defined hazelnut fruit and taut acidity.  excellent wine with no sign of the problems that plague some wines in this vintage.  top 
3	lovely bright, crisp red fruits.  excellent concentration and balance, great fruit but bone dry.  just a lovely village wine, i thought at first - but after some time to breath it seemed to have complexity and interest beyond that.  top 
4	top, top quality. creamy fruit,  lean, complex and mineral - with only a slightly reduced intensity and length reflecting the modest vintage. 
3	very good village wine - good fruit and the fine acidity of the vintage. delicious. a good 
2	quite rich, forward, exotic fruit.   drinking nicely.  this bottle had been forgotten in a freezer overnight, and then thawed - didn't seem to have done much damage, and as my host remarked it's an easy way of opening the bottle. 
3	"pure, quite mineral,  the fact that this is a ""no new oak"" wine very pleasingly evident.  quite a lot of richness to the fruit too, specially once it had been open for half an hour.   could probably do with a couple of years and might age well for longer.   nice wine.  bare "
2	understated, quite complex, but a little flat and dominated by a caramel/toffee overlay that i'm not keen on.   being a tempier fan i was expecting a lot from this, but on this showing i'm not wildly keen. 
3	attractive and drinkable, but lacking the mineral complexity of the launois nv drunk recently. 
3	pleasant mature rieslong - needing drinking fairly soon. bare 
3	bright, attractive and authentic, but lacking any special buzz.  i wrote that on initially drinking a glass or two: returning the following night this has opened out and is showing lovely minerality.   scrapes ()
4	from a magnum (well it was new year's eve). i think i've had this bottle for five plus years. lovely stuff - beautifully balanced. could still have used a few more years. a very easy 
4	deep colour, very yeasty nose and honied appley fruit with bags of mushrooms. evolved. quite bold and rich.  long and delicious, provided you like the meaty, not so elegant, bollinger style - it's not everyones glass of bubbles.  top 
3	quite elegant but rich (some botrytis perhaps).  very fine.  ()
4	mineral, nice fruit, dry and taught.  starting to drink nicely.  bare 
3	deep colour, rather lovely, gentle, long, mellow, nutty and delightful.  some say a little lacking poise or complexity but i quite like it.   
3	pure, quite light and aetherial (the vineyard perhaps).  nice length and texture. pleasingly little oak. still improving but may be won't merit another star.  pretty good.  
3	dusty, quite large but dry. tending towards baked (typical of the vintage) - a little chunky. still pretty good. quite a clarety style of burgundy. bare ()
4	closed at first, but opens out - lovely pure raspberry fruit. high-toned. very long. needs a few more years to peak.  ()
3	dry, nice, savoury,  but time to drink.  top 
2	colour tending to brown.  quite animal,  rich and decadent - fades a bit in the glass and rapidly becomes cloying. 
5	amazing dense young colour. floral, mineral, tobacco. iodine finish.  very fine indeed.  
4	mineral nose, rich cherry fruit hot iron finish.  fantastic interest - packed with ripe tannins. great balance - but lots of potential. top ()
3	very easy, silky, forward. touch of class.  i would like to try this from a stronger vintage and with a bit of age. 
4	apricot fruit, creamy texture and flavour. no great complexity (typical  of eiswein).  lovely acidity. bare 
4	as it opens up, rather fine - raspberry fruit, touch of chocolate, a bit spirity towards the end.  moderate weight now. top 
4	very fresh, lots of fizz. touch of yeast, etc - a touch shorter and less weighty than the bolly.  in spectacularly good condition and with fine, precise bready flavours. lovely top 
3	from a half. its usual reliable self - fine bubbles and good medium-weight balance. 
3	from a half. simple and charming. i love claret like this, especially when the purpose of the evening is purely social rather than wine related. this is at peak and a pleasure to drink. 
2	ok stuff with decent fruit. a touch coarse. 
4	beautiful. especially after a bottle of indifferent prosecco drunk with candied(?) hibiscus flowers in the glass. the lynch-bages is elegant, and suggests an inner depth that is not at present fully forthcoming. hints of peach kernel and tempered steel. 
3	poor alongside the lynch-bages. too soft and undemanding. 
3	this needs a bit more time. good structure and supple tannins - medium length. a good 
3	brought round by a friend for a sunday lunch. a slight whiff of the farmyard when first opened, but this cleared to reveal a light-to-medium weight claret with classic cigar box. 
3	rich vanilla fruit, excellent concentration.  not the last word in elegance and the mousse is a bit coarse - but overall a splendid wine.  at least a good ()
3	fruitcakey claret, quite big and robust - seems a little woody at first but returning a day later it's clean, nicely-toned mature wine.   chunky and in the final analysis not that complex, but good. 
4	vanillan, lovely mousse,  very elegant.  understated class. 
3	rich, good riesling character, quite a lot of residual sugar.  good in its way. 
3	lovely fresh fruit.  complex, delicate nose. falls off a bit in the mouth.   opens out with some air and holds up well on returning after the other wines.  this is one of their lesser wines - it's a credit to the property. 
3	rich, lively, smoky, very nice. less fine than the cubillo but richer.  (from a half.) 
3	inky, tannic, plummy, a bit baked. lovely secondary characters merging.  ()
3	suaver, rounder, suggestive of pomerol.  pure and a touch  higher-toned than the barton.  not ready but a bit shorter-term too. top ()
4	terribly refined, mature claret. great breed and balance.  i sometimes find pichon just a little too suave and lacking edge for my tastes, but this is a super wine. 
3	nice old nose. a touch of tea - good but doesn't develop on the palate. creamy vanilla.  just a bit rubbery but that becomes less noticeable as it opens in the glass. 
3	gamy,mineral yet edgy and unbalanced.  interesting yet also slightly flawed. possibly a dodgy bottle.  top  
3	rich, limey fruit.  young-seeming. apple finish. excellent - marred ever so slightly by a raw woody background.  top 
3	a touch pruney and hard - opens up a bit but remains  a bit unsatifyingly remote.   i would expect more.   
5	fresh, fragrant raspberry nose. fine, elegany, light palate. joyfully lovely. 
3	elegant as always, silky-testured drinking wine.  but i don't feel this has the power for long-term evolution that (say) the 1990 has.  drinking nicely now. top 
4	drinking (from a half) really beautifully now.  a delight. 
3	i recall being a bit disappointed last time i drank one of these magnums.   this one however is delightful, mature, berryish st emilion.   breed and balance to the fore.  very good drinking. top 
2	initially modern, rich, almost flashy.  later, gamy.  not sure what to make of this - it's not like the vallana wines of old but it is quite substantial. top  
3	pure, luscious. not really a keeper on this showing.   top 
3	funky, showing age, substantial but odd. 
3	nicely integrated, a touch sweet and easy perhaps but high quality. top 
3	fragrant nose with a tar underlay.  high-toned, pure yet quite gutsy tannins too.  persistent on the finish with chocolatey notes.  it's pretty tightly wound still and a bit enigmatic.  my guess is a bare ()
2	clean, dry, attractive. very drinkable. 
3	very pure, high-toned yet silky fruit.  somewhat in the burgundian style but with roses, tar and chocolate and noticable but ripe nebbiolo tannins.   on the other hand it has that floral scentedness of proper old-fashioned bordeaux.  doubtless worth keeping a few years but it is so well-made it is a pleasure to drink now. top 
2	perhaps starting to tire a bit nice fruit, quite dry-seeming now with a bit of pfalzy weight and a hint of hardness.  pleasant enough. 
3	yeasty, quite meaty. rich. needs a few years.  i haven't had a recently purchased bottle of pol for a while and was surprised by its weight. good though. 
3	lovely sous-bois and blackberry  nose,  silky fruit, ripe (in the modern style) with succulent, tannins.   rather classy in a fairly modern way. (a quick thrash ongoogle reveals this one some sort of iwc trophy - i can understand that.)  not entirely my sort of thing but still perhaps worth a bare ()
4	iodine and iron, rich, decadent, fleshy.  fruitcake fruit.   good, and time to drink. bare 
4	tight acidity, fine and intense.  i've been a bit up-and-down about this wine but i'm sure i like this bottle. perhaps even 
3	quite big, a touch flabby, rather evolved and vegetal. i'm not sure what combination of producer, vintage and possibly premature oxidation accounts for this, being unfamiliar with the first two factors in this case.   still pretty drinkable.  bare 
3	lightweight, feminine and fragrant although with quite a hard core running through it that suggests drinking with food.  modest acidity, and so i am not sure how long this is for keeping.  very pleasant but without real distinction at the highest level. top 
2	not very striking.  
3	herby nose, quite tight and nicely balanced for the vintage. 
3	juicy, succulent, a touch of minerality.  very good: drinking but will probably improve a bit yet.  
3	an attractive combionation of piquant high-toned fruit with a lovely rounded ripeness.  very good - for drinking over the next few years, i think. top 
3	(domaine de la bon gran) rather rich, touch of botrytis probably, pretty good. 
3	really nice - quite forward as the producers wines tend to be, quite big but in balance.   no hint of the problems of the vintage.  top 
3	the second bottle of h. lignier 1er cru from this vintage i have tried recently.  this is so pure, digestible and generally fine, but understated - it doesn't shout and it doesn't have a particular note of individuality for me.   yet it is a complete wine that i like a lot.   beginning to drink well, but not a long-haul wine.   top 
3	notably off-dry still, very fresh with rounded, attractive fruit. good. 
4	lovely apple and cream nose, slightly honied and a touch of yeast.  fine mousse too. lovely.  a 93/94/95 blend i believe.   top 
4	that old rioja nose of nuts and mushrooms and something slightly medical - lovely. very fresh, nicely rounded fruit.  ultimately i suppose not complex enough to be a great wine but rather good. bare 
3	good intensity, the fruit has a distinct character: mineral, not fruit-driven, something almost secondary about what is surely primary fruit.  very engaging.  top 
3	very gentle, completely resolved, pleasantly enjoyable. 
3	all very lovely, but despite the deftness of the touch of new barriques, i feel it lacks the crystaline purity of his other wines. 
2	"an enigma: that slightly ""flat"" souuthern-french palate, but with air an engaging herby nose. is it going anywhere?  i'm not sure. top "
3	lovely cherry fruit. very attractive. 
2	good syrah character, fruit-driven but not to the point of undrinkability.  pleasant. scrapes 
3	substantial and weighty, notable botrytis, interesting palate but perhaps tending towards rustic.  this was just a taste -i'd be interested to try more. 
3	fruit still has a lot of primary blackcurrant but the structure seems resolved so i guess this is for drinking now.  creamy, some cigar-box, all in all attractive fruit, but a little too undemanding to rate a really high score. top 
3	i guess i could get used to this trocken business:  this has good fruit and is bone-dry without being harsh.  still fairly moderate alcohol at 12%, the overall balance is good.  a year or two short of its peak, i suspect. 
2	blackberry fruit, some oak i think - quite tannic perhaps from the oak. modern-style. 
3	an interesting expression of the langhe, if with a modern tinge of new oak. everything conterno makes iselegan and drinkable and this is no exception. on the other hand i can't feel it is ultimately distinguished in the way that his barolos are.  a mix of four grape varietoes including nebbiolo. bare 
3	round berry fruit, quite a lot of blackcurrant, some tobacco.   very nice mature claret, if tending slightly towards the rustic - lacks the fineness of a top wine. good though. 
2	quite spritzy initially but the next day that had dissipated and the honeysuckle soave charcter and pure fruit very evident.  good length too. top ()
4	this is better every time i try it - class will out and i think it is le mesnil fruit that is giving it such minerality and complexity. delicious. 
3	my last bottle of this.  it's really a relaxed, fully mature, attractive and balanced wine.  enough complexity to be interesting and the primary fruit that i remember being rather excessive years ago is now nicely in balance.  very good.  i notice in passing that it is a relativel modest 12.5% alcohol. 
3	very classy, pure, blackberry and apple fruit.   demanding but ripe tannins, very succulent.   really good dolcetto. 
3	spritzy from dissolved co2 i guess.  excellent richness of fruit, intensity and length.   nice sweetness balanced by really good acidity. at least ()
3	lovely bright appetising mosel wine, yet with a rich fruitiness. very attractive. top 
3	the second time i've tried this recently.  it's an ozzie-like cabernet syrah blend but with a very unozzie dry palate.   seems to get better the longer it is open. fine wine. 
3	a dry dark oloroso-like palate - what a p.c. ought to have i guess but i often find them more amontillado there too as well as on the nose.  rather good.  15 years old according to their web site.   top 
1	spicy riesling petrolly nose. pretty dry - good length.  but fairly simple and light.   
2	again petrolly - rather richer.   quite good concentration. dry.  i wonder how this will go given it is already so petrolly.  
2	honey and caramel. butter.  less intense on the palate. good 
3	less ambitious and benefits from that - in fact reasonably concentrated and intense. 
2	unusually intense vanilla nose. damp straw - quite heavy-textured.  
3	honied and rich. charred nose and oily fruit.  big and long.  impressive in its way (which is not my way). bare 
2	berry nose.  oddly rasping finish. 
2	minty.  similar - finishes a bit abruptly.  
2	minty.   a bit toffeed. high-toned. i'm not wild about this.   
3	liquor blackberries. medium-weight palate - oddly bitter finish. might be going to be rather good. (i keep getting this wine in situations where i can't sit back,drink a couple of glasses and think about it.  i must try and do that at some point.) 
3	dry, pure, well-made. balanced. 
2	liquour raspberry again.  a bit thick. softer and lacking the attack of the 2001. 
2	hints at mint again.  oddly twisty. yet more balanced than the chileans. 
3	quite fresh, fruity, straw-like. high-toned. rather nice.  
2	pleasant and gracefully old - perhaps going a bit flat.  top 
3	good fizz which is perhaps just beginning to tire. medium weight and with a hint of oxidation. top 
3	rather simple after the de venoge - lighter weight. some complexity emerges after a while in the glass. 
3	this was the sort of bottle you would avoid even on the most generous of bin-end offers: the label stained and some evidence that the wine was seeping through the cork and dribbling down the capsule. however, the wine inside was lovely. this was as tight a riesling as you could hope to taste with classic minerality and finely tuned acidity. a really fine effort with time ahead. ()
5	one of those wines where the first sniff tells you that you are in the presence of something special. glorious sweet st julien fruit with a palate that is on first taste deceptively simple. none of the typical talbot whiff of the barnyard' that broadbent notes, but rather, on this showing, a wine of great purity and lasting structure. superb, and at a glorious peak. 
3	from magnum. i guess this was always going to be a come down after the previous wine (i rather naughtily tasted them in this order when others at the table were more conventional in their drinking order). this is reliable stuff that is drinking well with its tarry, coffee and chocolate overtones. good claret that, enjoyable though it is (i am drinking it whilst typing these notes), gets relegated, for now, to the luncheon division. a good 
4	from a half. delicious and aging rather well. good apricoty acidity and with a sweetness that is verging on being oversweet, but which is contained within the framework of the wine. i think this will age into something truly great. ()
4	showing its age with a tendency towards maderisation but very drinkable with yeasty rich fruit and good length. 
2	like a viognier almost, nicely intense. top 
3	pure black-cherry fruit in profusion. good concentration and so on, with a slightly cassis character that seems quite common in modern wines.  how will this age i wonder? probably quite well although the whole package is a bit soft for my taste.  top 
3	fragrant, lightweight (a very poor vintage of course), no very great length, needs drinking soon but it still has lovely minerality and is very stylish.  top 
4	meatier, longer and generally a bit more substantial than the 93 with a slight bitterness on the finish that will probably ease further although the wine must be close to peak. again so individual and so much a terroir wine.  i love it. bare 
4	backward, dense but fragrant and long.  coming towards peak.   really lovely. ()
2	this has rather a baked fruit character that i am not so keen on.  it is hard to taste against great wines like the gentaz, but only a top 
4	fragrant, dry and long.  more mineral and complex than the other ogier wines.   really lovely and should be drunk on its own away from the gentaz wines that tend to upstage it. 
5	an absolute star that could even benefit from another year or two.  tremendous weight, and concentrated minerality but all in balance.  fantastic.  top 
3	needs a swirl or two in the glass but characteristic cote rotie violets emerge.   very good. top 
5	this has a solid core of fruit, and the minerality and complexity that all the wines possess. it is a touch harder and a touch less strong all round than the 89 however. bare 
3	fragrant, balanced, easy-going wine with a nice dry finish. good 
2	awkwardly dry and rather short.  would go down quite well with food perhaps but not great - hardly surprising given the vintage. top 
5	asian spices (as r.p. so often says).  fresh (almost youthful still) with fantastically long fruit. gorgeous. top 
5	more awkward than the 85 - it lacks that wines easy balance. but this is really complex and the minerality is perhaps even more pronounced. intellectual wine and really good. 
4	more open and leafy, lacks the poise of the best vintages but does give a long mineral mouthful. 
3	top stuff but a little flabby and keroseney for a special cuvee from this producer. top 
5	mineral, broad, intense with a restrained, crystalline purity.  brilliant. 
0	pale tangerine colour in a decanter.  intensely gingery on the nose (as ramonet's wines often are) but to a grotesque degree.  rather horrible palate - probably just oxidised but in a rather odd way.  a day later the oxidation aspect less apparent but still extravagently gingery and with a dull flatness. 
3	much more what one expects - plenty of acid, quite juicy, nice fruit. 
3	quite leafy  liquid tobacco.   this seems to have gone backwards a bit since i last tasted it - clearly needs a few years but good drinking now too. ()
2	according to the front label 'an original blend of 95% syrah'; according to the back label a 'wonderful accompaniment to chicken dishes, goat's cheese tart or full flavoured cheeses' and 'suitable for vegetarians and vegans'. unlike the labelling, the wine isn't too contrived. good balance and good red fruit depth. it will probably improve with a few years age. by the way, the other 5% is mouvedre [sic]. just ()
4	i wasn't expecting much of this - sunday evening combined with a general foreboding about white rhones. what a revelation though! glorious full bodied stuff with a lovely toffee and honeysuckle length to the palate. a wine i could drink and drink - and not just on sundays. 
4	good old fizz with touches of honey, wood and aniseed. medium bodied and with the acidity to keep the mature flavours together. 
2	a disappointing wine in some sense. quite winey, and doesn't really have the class one expects. relatively (for a big name from '96) rather simple and lacking the drama and complexity of something to tuck away for the future. possibly an off form bottle. ()
3	exotic, rich, old-fashioned. splendid. 
4	peachy, exotic, quite evolved.   made to drink fairly young, but has that grand cru something about it. bare  
5	so floral, pure and beautiful. intense, dry.  approachable but lots of underlying structure. completely gorgeous. ()
3	mineral, very attractive, drinking nicely.   
3	rounder and a bit more concentrated.  mineral finish.  very good.  still fairly young. ()
3	much more reserved.  dense.  very concentrated - more balanced than the 90.  brilliant.  ()
4	leaner, sea breezes.  very classic.  lovely.  (in time the 89 will be the better wine i guess.) ()
3	lighter nose.  edgy finish.  not a bad 78. 
5	not edgy like the last time.  very fine.  piquant.  complex.  very classic. 
3	dry,  rich, appetising. long. pretty  nice.  i feel a bit of barrique aging is aiming at an international market, but it is good.   i'd like to sit down and drink a few glasses one evening.   maybe even scrapes  
3	quite burgundian weight. oaky (but quite well handled) chardonnay.  classy - needs time though.   i find the tunina a bit more individual but this is pretty good.  bare ()
4	as usual, a melange of flavours.  delicious.   bare 
3	"turkish delight.  dry.   could be a bit tiring although perhaps gewurz is ever that way.  nice balance of rose-scented fruit with a dry palate.  good length. another wine i'dlike to try ""properly"".  a good "
3	big-scaled wine - top chianti as i'd expect from this wine in such a fine vintage. bare ()
3	stinky at first - blows off to reveal a really good taught, balanced wine.   rather good, i think.  bare ()
3	herby.  good balance.  very drinkable.   
2	suave, silky, dry.  quite structured.  easy ()
2	a bit dry - might improve but seems a bit austere.  but rather a nice nose.   ()
2	scented nose but tannic.   serious, i find the new oak tannins a bit more difficult young than the traditional style.  but the oak is done well and terroir shows through.  pretty concentrated - fine wine.  this has quite a lot of quality and might evolve well in a sandrone sort of way.   ()
3	light elegant, quite fine.  i feel i've had slightly better bottles of this.  top 
4	more body but perhaps a touch less well delineated than the sandrone.   very nice approaching maturity.  bare 
5	so delicate, mineral, fine and long.  just ready.  
2	a bit extracted and a bitter for my palate.  not my sort of thing, although there's alot of wine in the glass.   perhaps i might warm to it with more time.   good 
3	dry, savoury, cooked fruits.  mushrooms, nuts.  really good amarone.  maybe even ()
3	nice way to finish - well-balanced and delicious. top 
3	dry, juicy, mineral, nicely made.  a bit thin on the mid-palate initially but it fills out with time.  nice.  bare ()
3	a bit more modern-styled.  pleasantly creamy.  
3	good farmyardy, mature burgundy - quite piquant and perhaps a touch rough with marked tannins.  nice drinking but fades a little in the glass. 
1	rather dilute, dull and uninteresting. 
0	past it - horrible. 
2	a bit tough and tannic, but with good texture. could do with a bit more fruit. more drinkable than i thought it would be. 
3	not a star village, an un-rated vineyard and a moderate vintage - it's amazing what sensitive winemaking can achieve.  lovely, drinkable, engaging, characterful and not entirely simple fuit - nine years old and about at peak from a half.  really very enjoyable. 
3	dense colour.  quite syrah-like at first, but more baked (almost burnt) plum fruit after a while.   good texture - feels nice in the mouth.  good structure too - this is a rather good, characterful wine.   still improving and needing time, but perhaps it won't actually quite rate more stars. 
3	"really quite youthful still, high-toned food wine with a touch of (very italian) bitterness. nice fruit.   i described this as ""modern"" last time i drank it, but it isn't evolving quickly. merits "
3	a big hit of blackcurrant on the nose initially - and a while after it still has quite a lot of forward fruit, at least compared to the more austere higher-toned 94.  still a fine wine but i'm having trouble getting to grips with it.   say, 
3	lovely high-toned brambly fruit with a touch of cranberry.  good ripeness and succulent tannins, nice mineral base too  - probably still improving and could even rate another star in time. for now a top  
3	my last bottle of this: rich and flavoursome with highly evolved fruit - on my first sip i thought it was past its best, but on longer acquaintance i felt it was about at its best while needing drinking relatively soon.  top 
3	healthy colour - cedary, fruitcake nose and a pleasantly balanced palate. pretty much at peak, but holding nicely - a bit of air and it opens up and reveals a fragrant side too.  i haven't always been overwhelmed by the wines from this estate, but this has shifted my opinion up a bit. 
2	very pleasantly cedary, but this bordeaux-style wine's fruit is becoming a bit thin now.  
3	my last bottle of this: lemony vanilla, touch of sherry character but completely and enjoyably fresh and appetising.   almost timeless, but i guess it wouldn't improve.   very pleasant mature wine (of an unfashionable sort). 
3	scented, dry and savoury - old-fashioned claret that isn't that weighty. very pleasant, but i think perhaps not one of the best wines from this property - it is still improving but may not rate more stars. 
4	i haven't tasted this for eight years, i think.   i rated it very highly then as a young wine and now it has a restrained but lovely old apricot nose and a wonderful density of fruit of fruit and a rich, extravagently viscous texture. there's a nice level of acidity too that stops it cloying and a very long finish.   very lovely, but i have slight reservations about the complexity -  it does seem, as one might perhaps expect from the grape, a touch one-dimensional given its other qualities. 
2	my first sampling of jadot's beaujolais project.  my first thought was that i was expecting something a bit larger, but the fruit has good, under-stated concentration and there is an attractive mineral core too.  very drinkable, yet there is a tannic underpinning that will give a at least a few years of positive evolution.   i am quite positive about htis - for now a conservative ()
3	lovely, intense, grenache-based wine - long, balanced, like a very good chateauneuf. easy top 
0	harsh and astringent. completely gone. 
1	i don't want to be unfair to this wine (it was a quick replacement for the undrinkable lamaione), but this isn't quite of the standard that previous vintages of this wine used to be - although, possibly, it is just a bit closed. 
